learning_rate,depth,subsample,iterations,l2_leaf_reg,CV-10-train-RMSE,CV-10-train-R2,CV-10-validation-RMSE,CV-10-validation-R2,test-RMSE,test-R2
0.3,8,0.9,400,3,0.112425955,0.999927076,3.637614764,,2.749333441,0.9382583
0.2,7,0.8,400,1,0.112768577,0.999926779,3.651483309,,2.749563982,0.938247945
0.3,8,0.9,300,3,0.113336157,0.999926224,3.638046158,,2.74983988,0.938235551
0.4,3,0.7,200,10,1.721106871,0.983373839,4.300910295,,2.750306705,0.938214579
0.3,8,0.9,200,3,0.130186955,0.999904112,3.643600768,,2.751255083,0.938171961
0.2,5,0.8,200,3,0.70050754,0.997238953,3.801958158,,2.753200575,0.938084489
0.1,7,0.6,200,5,1.551930482,0.986488791,4.234324841,,2.754422118,0.938029535
0.3,7,0.9,200,10,0.781446014,0.996559677,3.929828295,,2.758557511,0.937843315
0.1,8,0.6,200,5,1.328614289,0.990091581,4.101695876,,2.759045072,0.937821342
0.2,7,0.8,300,3,0.166619335,0.999843525,3.634414294,,2.759093523,0.937819158
0.1,7,0.6,300,3,0.606897256,0.997930827,3.565253834,,2.759201955,0.93781427
0.1,8,0.6,300,1,0.188234892,0.999800559,3.520756121,,2.759853893,0.937784881
0.2,7,0.8,400,3,0.126491016,0.999909521,3.624494489,,2.760855057,0.937739734
0.4,7,0.6,200,5,0.233730656,0.999691333,3.670740633,,2.760896665,0.937737857
0.2,7,0.9,100,5,1.635902276,0.984970365,4.454628167,,2.76190985,0.937692152
0.2,3,0.9,200,1,1.34452761,0.98985836,4.182697518,,2.763445372,0.93762285
0.1,5,0.8,200,3,1.582215723,0.985954168,4.18296187,,2.763831632,0.937605412
0.2,8,0.6,200,3,0.288167759,0.99953288,3.618226181,,2.76421666,0.937588026
0.3,7,0.7,200,3,0.193710685,0.999788515,3.67179336,,2.764653353,0.937568305
0.1,8,0.6,400,1,0.131780124,0.999901866,3.514337947,,2.766244103,0.937496439
0.2,7,0.6,300,10,0.687453113,0.997346199,3.572457944,,2.766403793,0.937489223
0.4,7,0.6,300,5,0.140601679,0.999888315,3.666661266,,2.767266949,0.937450208
0.2,3,0.9,100,1,2.330114166,0.969548801,4.577923667,,2.769388857,0.937354246
0.2,8,0.6,300,3,0.155182893,0.999864476,3.572195488,,2.7703022,0.937312919
0.2,5,0.6,200,5,1.053124665,0.993773336,3.877629959,,2.770445662,0.937306426
0.3,7,0.7,300,3,0.126310687,0.999909759,3.662065812,,2.771014649,0.937280671
0.3,7,0.7,400,3,0.11481424,0.999924683,3.661249264,,2.771136757,0.937275144
0.2,8,0.6,400,3,0.122258306,0.999915358,3.563840862,,2.772499071,0.937213456
0.1,5,0.9,300,3,0.960515473,0.994821824,3.825644898,,2.772920134,0.937194384
0.1,8,0.8,300,3,0.454634314,0.998838386,3.735252047,,2.77292603,0.937194117
0.4,7,0.6,400,5,0.118747504,0.99991976,3.667419409,,2.773449674,0.937170394
0.3,8,0.9,100,3,0.441138273,0.998903432,3.732525823,,2.774275643,0.937132965
0.2,3,0.9,200,3,1.716093217,0.983476791,4.296362716,,2.776472278,0.937033371
0.1,5,0.8,300,5,1.389754998,0.989162969,3.889270843,,2.77710718,0.937004571
0.4,7,0.7,100,5,0.636998736,0.99771279,3.840112581,,2.779494154,0.936896233
0.2,7,0.8,100,1,0.451952966,0.998849336,3.762058216,,2.779614146,0.936890784
0.4,7,0.6,100,5,0.650910455,0.997612683,3.7533202,,2.781527776,0.936803859
0.3,3,0.8,300,10,1.577867075,0.98602753,4.2597549,,2.781675424,0.93679715
0.1,5,0.9,400,3,0.643266875,0.997674527,3.666577688,,2.784200309,0.936682361
0.3,7,0.6,100,1,0.287903187,0.999532283,3.911798249,,2.785845756,0.936607498
0.3,7,0.6,200,1,0.121919871,0.99991568,3.864421848,,2.786964124,0.936556591
0.3,7,0.6,400,1,0.112387169,0.999927095,3.863890595,,2.787973576,0.936510623
0.3,7,0.6,300,1,0.112968004,0.999926633,3.863270234,,2.788176576,0.936501377
0.4,3,0.7,300,10,1.244782716,0.991294541,4.066219985,,2.788229974,0.936498945
0.4,7,0.8,400,10,0.159596886,0.999856491,3.609084682,,2.790669601,0.936387773
0.4,7,0.8,200,3,0.127210899,0.999908388,3.69541513,,2.792953037,0.93628363
0.2,8,0.7,400,10,0.373840175,0.999214147,3.544533315,,2.793707075,0.936249221
0.2,5,0.6,400,3,0.326032231,0.999401298,3.367314821,,2.793729774,0.936248186
0.3,7,0.8,300,3,0.120629421,0.999917096,3.659628135,,2.793736323,0.936247887
0.4,7,0.8,300,3,0.113613172,0.999925901,3.690101672,,2.794316826,0.93622139
0.3,7,0.8,400,5,0.125567289,0.999910738,3.4027249,,2.794538085,0.93621129
0.3,7,0.8,400,3,0.113710726,0.999925748,3.656810812,,2.794821678,0.936198342
0.3,7,0.8,300,5,0.164512998,0.999847414,3.418633127,,2.794930232,0.936193386
0.2,7,0.7,400,3,0.135661175,0.999896365,3.636186765,,2.795284837,0.936177194
0.2,7,0.7,300,3,0.186401999,0.99980455,3.648079029,,2.795746836,0.936156095
0.4,7,0.8,400,3,0.112478141,0.999927032,3.690046421,,2.795844465,0.936151636
0.2,5,0.6,300,3,0.469783299,0.998757758,3.451713744,,2.796484303,0.936122409
0.1,6,0.9,400,3,0.444335984,0.998890003,3.526290859,,2.796853581,0.936105538
0.3,7,0.8,200,3,0.173151644,0.999830766,3.673769579,,2.797096423,0.936094442
0.4,7,0.8,300,10,0.244695646,0.999662289,3.62551122,,2.798352435,0.936037036
0.2,7,0.7,200,3,0.353259039,0.999297357,3.701381109,,2.798768666,0.936018007
0.1,7,0.9,300,10,1.930686099,0.979076028,4.485469447,,2.799342195,0.935991782
0.3,3,0.8,400,10,1.247584881,0.991258601,4.066061858,,2.804227211,0.935768191
0.3,8,0.6,100,1,0.190891615,0.99979389,3.971780342,,2.804313867,0.935764221
0.3,7,0.8,200,5,0.308406642,0.999463543,3.494781054,,2.804826078,0.935740753
0.3,5,0.6,400,10,0.496531799,0.99861279,3.605841563,,2.807465031,0.935619778
0.4,7,0.7,100,3,0.373617335,0.999213748,3.798286368,,2.808646707,0.935565571
0.4,7,0.8,100,3,0.338399565,0.999353525,3.723705003,,2.812663519,0.935381136
0.1,8,0.9,400,3,0.247377169,0.999654969,3.405928447,,2.813863748,0.935325976
0.3,8,0.6,200,1,0.113750086,0.999925842,3.962086691,,2.814388776,0.935301839
0.3,7,0.7,100,1,0.243042612,0.999665626,3.794691324,,2.814411109,0.935300812
