learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,LOO-train-RMSE,LOO-train-R2,LOO-val-RMSE,LOO-val-R2,test-RMSE,test-R2
0.1,6,0.8,200,3,1,0.416830403,0.99901806,3.6445788,,2.794274593,0.941684559
0.4,8,0.8,300,10,0.6,0.370321909,0.999224133,3.463519116,,2.79805466,0.941526675
0.2,5,0.9,400,5,0.8,0.199369072,0.999775174,3.544949983,,2.79848129,0.941508842
0.2,7,0.8,300,10,1,0.184302153,0.999808001,3.550649321,,2.799184477,0.941479444
0.4,5,0.6,300,5,0.8,0.271218593,0.999582572,3.561838231,,2.800023628,0.941444352
0.4,6,0.8,400,10,0.6,0.313430436,0.999443458,3.360755299,,2.80133374,0.941389543
0.3,8,0.6,300,10,1,0.22219405,0.99972066,3.348747741,,2.801852798,0.941367822
0.3,8,0.8,100,3,1,0.125945719,0.999909776,4.060677634,,2.803875718,0.941283127
0.2,5,0.9,300,5,0.8,0.285020107,0.999540976,3.518891148,,2.804518071,0.94125622
0.4,6,0.7,100,3,0.8,0.485228192,0.998660028,3.671265562,,2.807225012,0.941142766
0.4,8,0.6,200,10,1,0.281809795,0.99954993,3.421225855,,2.807250973,0.941141677
0.4,5,0.9,400,10,0.8,0.162471722,0.999850694,3.464401696,,2.809599476,0.941043156
0.2,8,0.9,300,10,0.8,0.329506718,0.999386535,3.431449631,,2.810920168,0.940987716
0.1,6,0.8,400,5,1,0.201963306,0.999769467,3.538339609,,2.81515648,0.940809708
0.4,5,0.9,200,5,0.8,0.211056614,0.999747696,3.534741206,,2.81650367,0.940753044
0.3,6,0.8,400,5,0.6,0.206920236,0.99975682,3.570094967,,2.816901664,0.940736298
0.2,6,0.9,300,10,0.8,0.435918458,0.998927079,3.486140635,,2.817829014,0.940697272
0.2,7,0.6,400,10,1,0.262002135,0.999611869,3.448534054,,2.818685275,0.940661225
0.4,7,0.8,200,5,0.6,0.317982133,0.99942761,3.403824376,,2.818947728,0.940650174
0.3,6,0.8,400,10,0.6,0.4396122,0.998908111,3.333703509,,2.821256648,0.940552911
0.4,6,0.9,100,3,0.8,0.244042302,0.999662045,3.736780915,,2.823591838,0.94045446
0.4,5,0.9,300,10,0.8,0.222439405,0.999720573,3.459121146,,2.825761626,0.94036291
0.2,8,0.6,300,10,1,0.418198167,0.999010565,3.452064316,,2.826282099,0.940340939
0.4,6,0.7,200,3,0.8,0.15742654,0.999859579,3.770990856,,2.82684273,0.940317268
0.4,6,0.7,400,3,0.8,0.114966957,0.999923502,3.806537312,,2.827800421,0.940276822
0.4,6,0.8,300,10,0.6,0.424375848,0.998981171,3.345269192,,2.829431486,0.940207906
0.4,6,0.7,300,3,0.8,0.118140749,0.999919849,3.790663876,,2.829734959,0.940195079
0.2,7,0.9,300,10,0.8,0.362369808,0.999258443,3.448726281,,2.830756365,0.940151897
0.3,6,0.8,300,5,0.6,0.280800661,0.999552297,3.560238244,,2.831911641,0.940103038
0.4,7,0.8,400,10,0.6,0.28239834,0.99954757,3.536741251,,2.832678544,0.940070592
0.4,6,0.9,400,10,0.8,0.125150336,0.999910674,3.478526898,,2.83295181,0.940059029
0.4,6,0.7,300,3,0.6,0.167698341,0.999840315,3.815553571,,2.834180866,0.940007008
0.4,6,0.7,400,3,0.6,0.137229557,0.99989271,3.829450968,,2.834237325,0.940004617
