learning_rate,depth,subsample,iterations,l2_leaf_reg,CV-10-train-RMSE,CV-10-train-R2,CV-10-validation-RMSE,CV-10-validation-R2,test-RMSE,test-R2
0.2,7,0.6,400,10,0.422371108,0.998973945,5.750914958,0.776402027,2.698670211,0.940512819
0.3,8,0.7,200,10,0.514532535,0.998501352,6.194623145,0.740702023,2.702605953,0.94033918
0.2,5,0.6,300,5,0.593926036,0.997984755,5.78234743,0.779289364,2.703791019,0.940286848
0.1,7,0.9,200,5,1.593175917,0.985634406,6.042842875,0.755421714,2.703937772,0.940280365
0.3,7,0.6,200,10,0.61592705,0.997849591,5.776846104,0.778489838,2.708668404,0.940071219
0.3,6,0.7,100,5,1.10167044,0.993086394,6.025238232,0.755414568,2.711181039,0.939959985
0.1,7,0.9,100,1,1.336926371,0.989906035,6.048638432,0.760663836,2.712537296,0.9398999
0.2,5,0.8,400,3,0.181811074,0.999810088,6.001846012,0.762395717,2.71379906,0.939843975
0.2,5,0.8,300,3,0.293010289,0.999512324,6.004529391,0.76212994,2.714473273,0.939814081
0.2,5,0.7,200,3,0.635404662,0.997704096,6.116962449,0.755475378,2.716464819,0.939725734
0.1,7,0.6,300,10,1.58724808,0.985708978,6.233458908,0.742537013,2.717069215,0.93969891
0.1,8,0.6,400,3,0.225768901,0.99970754,5.927838303,0.762517537,2.71754278,0.939677888
0.4,7,0.9,100,3,0.253808515,0.999635268,6.487485543,0.717011715,2.722654226,0.939450754
0.4,7,0.9,200,3,0.088130646,0.999942357,6.487211579,0.716317253,2.724683774,0.93936045
0.1,8,0.8,400,3,0.196612822,0.999780385,5.846997928,0.765429193,2.726582512,0.939275906
0.1,6,0.9,400,5,0.717087536,0.997089529,5.886103578,0.764193321,2.727704104,0.939225937
0.2,5,0.8,400,5,0.335040606,0.999359185,5.833116343,0.77160566,2.728438074,0.939193226
0.4,7,0.9,300,3,0.078413559,0.999944945,6.48790769,0.716264631,2.728459688,0.939192263
0.4,7,0.9,400,3,0.077207729,0.999944982,6.488099952,0.716248632,2.728918633,0.939171805
0.1,7,0.8,400,10,1.237140505,0.991311133,6.152000085,0.746893239,2.729676771,0.939138002
0.1,7,0.6,400,3,0.312341759,0.999442731,5.609493457,0.787824926,2.731428297,0.939059871
0.2,7,0.6,100,3,0.973467742,0.994632903,6.085966942,0.749595548,2.732503213,0.939011898
0.1,8,0.6,300,3,0.388534979,0.999135006,5.942664763,0.762268724,2.734244762,0.938934132
0.2,3,0.9,300,3,1.128676952,0.992724019,6.311351859,0.733693553,2.734611363,0.938917756
0.4,7,0.7,200,5,0.149636114,0.999872697,6.131775456,0.74573153,2.734859218,0.938906683
0.1,8,0.6,200,1,0.31131782,0.999444708,5.814827862,0.77683921,2.739219931,0.938711702
0.3,3,0.7,400,10,1.139609587,0.992627715,6.012536062,0.760436663,2.741592084,0.938605505
0.2,7,0.8,200,3,0.254306498,0.999632367,6.106795417,0.753898458,2.742444182,0.938567336
0.4,7,0.7,300,5,0.092977486,0.999940101,6.128843083,0.74561051,2.742499774,0.938564845
0.1,5,0.8,400,10,1.699022391,0.983691316,6.192741566,0.743622315,2.742620934,0.938559417
0.2,5,0.8,300,5,0.524830076,0.998432087,5.846745836,0.770697179,2.743305953,0.938528721
0.1,8,0.7,400,10,0.984180631,0.99452086,6.005038309,0.755041407,2.743929668,0.938500766
0.2,7,0.8,200,1,0.098325348,0.999936383,6.094977072,0.747802768,2.743998497,0.93849768
0.4,3,0.6,400,5,0.614352037,0.997820882,5.642986086,0.787300578,2.744441828,0.938477806
0.2,3,0.8,200,1,1.165859401,0.992233568,6.088725431,0.75435854,2.746903676,0.938367382
0.4,7,0.7,400,5,0.081830752,0.999944534,6.128775636,0.745513014,2.748098858,0.938313737
0.2,7,0.8,300,1,0.080682631,0.999944726,6.098502178,0.747517945,2.748726052,0.938285577
0.3,8,0.9,400,3,0.077291189,0.99994498,5.934686054,0.761240445,2.749333441,0.9382583
0.2,7,0.8,400,1,0.077786789,0.999944971,6.098809165,0.747493285,2.749563982,0.938247945
0.3,8,0.9,300,3,0.078936125,0.999944848,5.935314149,0.761204765,2.74983988,0.938235551
0.4,3,0.7,200,10,1.598408974,0.985532774,6.091575897,0.75176304,2.750306705,0.938214579
