Dataset,n_features,Train_RMSE,Train_R2,CV_RMSE,CV_R2,Test_RMSE,Test_R2
5,5,7.799605274,0.650182384,9.409904806,0.226449333,9.541306055,0.30577621
5,6,7.79959817,0.650183021,9.416466075,0.236611377,9.541408771,0.305761262
5,7,7.79959802,0.650183035,9.522704398,0.225681828,9.541676504,0.305722301
5,3,7.885719384,0.642415188,9.335062901,0.19850021,9.543741049,0.305421825
5,2,7.885719489,0.642415178,9.334580561,0.198568409,9.54395552,0.305390607
5,4,7.885719562,0.642415172,9.335760952,0.198439205,9.544057084,0.305375823
6,1,8.755579593,0.570485323,9.571655681,0.23750545,9.280224952,0.296537802
6,2,8.755579547,0.570485328,9.571806376,0.237481861,9.280306835,0.296525388
7,6,8.037759299,0.637695523,9.138681044,0.019534866,9.459732489,0.246411549
7,7,8.037755924,0.637695828,9.096500745,0.023174908,9.459803439,0.246400244
7,4,8.037765344,0.637694979,9.086135551,0.021743484,9.461754178,0.246089408
7,5,8.037775511,0.637694062,9.152419515,0.016277173,9.461775405,0.246086025
5,1,8.479603863,0.586526619,9.391732459,0.127874516,10.28954718,0.192623017
3,1,9.933877253,0.321568518,11.93706239,-0.413228713,15.77986073,0.057188667
3,2,9.933870217,0.321569479,11.83215068,-0.393979476,15.78264621,0.056855785
3,3,9.933861748,0.321570636,11.80036599,-0.388510265,15.78854706,0.056150404
7,2,8.509798223,0.593891357,8.97541083,0.1544829,11.27515556,-0.07058612
7,1,8.509797608,0.593891416,9.112096939,0.132685077,11.27525737,-0.070605456
7,3,8.509797155,0.593891459,8.961881488,0.156423497,11.27695729,-0.0709283
