learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,LOO-train-RMSE,LOO-train-R2,LOO-val-RMSE,LOO-val-R2,test-RMSE,test-R2,
0.2,3,0.6,100,10,0.6,1.050250358,0.880474678,1.719310528,,0.2145026,0.968587201,
0.1,3,0.6,200,10,0.6,1.079411531,0.874013191,1.773578769,,0.214637316,0.968547732,
0.1,5,0.7,400,10,0.6,0.56092675,0.965763093,2.040111074,,0.214743397,0.968516634,
0.1,3,0.6,300,10,1,0.671595604,0.951197583,1.858047655,,0.214975347,0.968448586,
0.1,5,0.7,200,5,0.8,0.453221682,0.977705624,2.159666294,,0.215702712,0.968234717,
0.1,4,0.6,200,10,1,0.911535448,0.910187272,1.748871483,,0.215809344,0.968203303,
0.2,5,0.7,200,10,0.8,0.414128882,0.981323975,2.117900619,,0.217078926,0.96782809,
0.1,3,0.6,200,5,1,0.533792109,0.969101809,1.930847577,,0.217165906,0.967802303,
0.1,5,0.7,300,10,0.8,0.586464525,0.962782798,2.058500433,,0.217657641,0.967656326,
0.1,3,0.6,200,10,0.8,0.997738548,0.892409364,1.791703782,,0.217776244,0.967621068,
0.3,3,0.7,100,10,0.8,0.565231276,0.965303036,2.111702094,,0.21793984,0.967572403,
0.2,6,0.7,200,10,0.6,0.557217228,0.966105584,2.01560455,,0.218011807,0.967550983,
0.2,7,0.7,200,10,0.6,0.557206595,0.966106346,2.01545834,,0.218011807,0.967550983,
0.2,8,0.7,200,10,0.6,0.55720653,0.966106354,2.01546287,,0.218011807,0.967550983,
0.1,3,0.7,200,5,0.6,0.650187655,0.953986548,1.963563985,,0.218388584,0.967438727,
0.1,7,0.6,300,10,1,0.650277314,0.954234795,1.862454669,,0.218600365,0.967375544,
0.1,8,0.6,300,10,1,0.650277242,0.954234804,1.862454788,,0.218600365,0.967375544,
0.1,4,0.7,400,10,0.6,0.564788753,0.965302488,2.039526993,,0.219052118,0.967240563,
0.2,4,0.7,200,10,0.8,0.418692349,0.980930823,2.116211856,,0.219169902,0.967205324,
0.4,3,0.7,100,10,0.8,0.39885363,0.982682487,2.191459076,,0.219298321,0.967166882,
0.2,6,0.7,300,10,0.8,0.212665732,0.99506513,2.189060392,,0.219449548,0.967121583,
0.2,7,0.7,300,10,0.8,0.212386871,0.995077614,2.188934939,,0.21953998,0.96709448,
0.2,8,0.7,300,10,0.8,0.212226691,0.995084903,2.19004889,,0.21953998,0.96709448,
0.3,3,0.6,100,5,0.6,0.483385678,0.974180699,2.091134214,,0.219710423,0.967043367,
0.1,6,0.6,200,5,0.6,0.723400358,0.943117062,1.955632539,,0.220159792,0.966908418,
0.1,7,0.6,200,5,0.6,0.723399264,0.943117258,1.955651165,,0.220159792,0.966908418,
0.1,8,0.6,200,5,0.6,0.723399194,0.94311727,1.955651165,,0.220159792,0.966908418,
0.1,4,0.8,200,10,0.6,0.810969658,0.92884146,1.949793092,,0.220303002,0.966865353,
0.1,5,0.6,200,5,0.6,0.724443114,0.942951256,1.955477805,,0.220442827,0.966823279,
0.1,6,0.7,200,5,0.8,0.45279711,0.977743026,2.160640577,,0.22081438,0.966711347,
0.2,5,0.7,300,10,0.8,0.21362589,0.995020465,2.199820744,,0.220844415,0.966702291,
0.2,3,0.7,200,10,1,0.345062439,0.987091713,2.105646865,,0.220910058,0.966682493,
0.2,5,0.7,200,10,0.6,0.557269338,0.966099526,2.02133582,,0.221575752,0.966481392,
0.3,6,0.6,100,10,0.8,0.725095145,0.942887035,1.967669346,,0.221891498,0.966385796,
0.3,7,0.6,100,10,0.8,0.724788149,0.942928587,1.972051838,,0.221891498,0.966385796,
0.3,8,0.6,100,10,0.8,0.724788149,0.942928587,1.972051838,,0.221891498,0.966385796,
0.1,3,0.7,300,10,1,0.525481453,0.970130642,2.013041789,,0.221913588,0.966379102,
0.1,6,0.7,300,5,0.6,0.38272944,0.983976091,2.089701662,,0.221977831,0.966359633,
0.1,3,0.8,300,10,0.8,0.485471792,0.974438479,2.151786709,,0.221985845,0.966357204,
0.1,3,0.7,200,5,1,0.41142349,0.981650054,2.046805376,,0.22201094,0.966349597,
0.1,7,0.7,300,5,0.6,0.382705957,0.983978074,2.089099349,,0.222069396,0.966331875,
0.1,8,0.7,300,5,0.6,0.382705957,0.983978074,2.089099349,,0.222069396,0.966331875,
0.3,3,0.6,100,10,0.8,0.75085104,0.93871202,1.937355028,,0.222570246,0.966179835,
0.1,8,0.7,200,5,0.8,0.45269006,0.977752935,2.162387947,,0.222659979,0.966152559,
0.1,7,0.7,200,5,0.8,0.452838413,0.977739314,2.160350943,,0.22266893,0.966149837,
0.3,7,0.7,400,10,0.8,0.024898504,0.999931674,2.406258235,,0.222706113,0.966138531,
0.3,5,0.7,400,10,0.8,0.02531093,0.999929482,2.383133644,,0.222769763,0.966119173,
0.3,8,0.7,400,10,0.8,0.024913677,0.999931602,2.403983125,,0.223007511,0.966046817,
0.1,5,0.6,300,10,1,0.650477874,0.954209262,1.862523587,,0.223009806,0.966046118,
0.1,3,0.6,300,10,0.6,0.890628068,0.914037181,1.817850069,,0.223265861,0.965968103,
0.1,6,0.6,300,10,1,0.650284197,0.954233868,1.863061042,,0.223378319,0.965933811,
0.2,4,0.7,200,10,0.6,0.562534415,0.965439981,2.021266753,,0.223383822,0.965932132,
0.3,6,0.7,400,10,0.8,0.024826344,0.999932206,2.396612847,,0.223448598,0.965912372,
0.1,4,0.6,300,10,1,0.652911817,0.953866492,1.87189977,,0.223555235,0.965879829,
0.1,5,0.6,300,10,0.6,0.8769605,0.916615711,1.837911473,,0.223640688,0.965853739,
0.1,7,0.6,300,10,0.6,0.877073705,0.916585937,1.835525216,,0.223768182,0.965814795,
0.1,8,0.6,300,10,0.6,0.877073705,0.916585937,1.835525216,,0.223768182,0.965814795,
0.1,4,0.6,200,10,0.8,0.98173271,0.895811611,1.792507088,,0.223775548,0.965812545,
0.1,6,0.6,300,10,0.6,0.877074923,0.91658572,1.835530699,,0.223783067,0.965810247,
0.1,6,0.8,200,10,0.6,0.807359938,0.929451286,1.952768117,,0.223844467,0.965791483,
0.1,7,0.8,200,10,0.6,0.807358031,0.929451579,1.952866762,,0.223844467,0.965791483,
0.1,8,0.8,200,10,0.6,0.807358031,0.929451579,1.952866762,,0.223844467,0.965791483,
0.2,3,0.6,100,10,0.8,0.986029414,0.894634772,1.769756368,,0.223871181,0.965783318,
0.1,6,0.6,200,3,0.6,0.482337768,0.97438987,2.009942086,,0.224104314,0.965712016,
0.1,7,0.6,200,3,0.6,0.482280493,0.974396016,2.009967358,,0.224111499,0.965709817,
0.1,8,0.6,200,3,0.6,0.482280493,0.974396016,2.009967358,,0.224111499,0.965709817,
0.1,4,0.6,300,10,0.6,0.877354805,0.916559279,1.83932455,,0.22418487,0.965687362,
0.2,3,0.8,200,10,1,0.231324059,0.994193349,2.292954579,,0.224280858,0.965657972,
0.1,5,0.8,200,10,0.6,0.807720508,0.929389131,1.95859079,,0.22429409,0.96565392,
0.3,3,0.7,100,5,1,0.190109939,0.996041752,2.327003183,,0.224547067,0.9655764,
0.1,3,0.8,400,10,0.8,0.323053127,0.988631876,2.248520048,,0.224567505,0.965570133,
0.3,4,0.7,400,10,0.8,0.027359958,0.999916809,2.368263388,,0.224598754,0.965560551,
0.1,3,0.7,200,5,0.8,0.510071855,0.971741638,2.084280813,,0.224610637,0.965556906,
0.2,3,0.7,200,5,1,0.110892225,0.998648468,2.291085074,,0.224637304,0.965548727,
0.1,5,0.6,200,3,0.6,0.482399885,0.974396513,2.020647244,,0.224985339,0.965441892,
0.1,6,0.6,200,5,0.8,0.59378968,0.961698426,1.947508409,,0.225234755,0.965365229,
0.1,6,0.6,300,10,0.8,0.747413392,0.939512172,1.907860951,,0.225401727,0.965313859,
0.1,7,0.6,300,10,0.8,0.747716698,0.939461526,1.910081432,,0.225401727,0.965313859,
