PI-content,CF-content,Sizing agent-content,GP-content,TS_pred,TC_pred,Pareto_optimal
0.74,0.06,0.015,0.2,55.514214,8.774553,FALSE
0.74,0.06,0.02,0.2,57.970074,11.237922,FALSE
0.74,0.06,0.025,0.2,57.970074,11.237922,FALSE
0.74,0.06,0.03,0.2,55.50653,11.447991,FALSE
0.74,0.06,0.035,0.2,55.50653,11.447991,FALSE
0.74,0.06,0.04,0.2,53.443184,10.453172,FALSE
0.74,0.06,0.045,0.2,53.443184,10.453172,FALSE
0.74,0.06,0.05,0.2,52.368927,10.409153,FALSE
0.74,0.06,0.055,0.2,52.368927,10.409153,FALSE
0.74,0.11,0,0.15,53.75099,7.962972,FALSE
0.74,0.11,0.005,0.15,53.75099,7.962972,FALSE
0.74,0.11,0.01,0.15,63.55306,9.9483595,FALSE
0.74,0.11,0.015,0.15,63.55306,9.9483595,FALSE
0.74,0.11,0.02,0.15,67.28228,13.510768,FALSE
0.74,0.11,0.025,0.15,67.28228,13.510768,FALSE
0.74,0.11,0.03,0.15,63.220116,13.402238,FALSE
0.74,0.11,0.035,0.15,63.220116,13.402238,FALSE
0.74,0.11,0.04,0.15,60.956573,11.957961,FALSE
0.74,0.11,0.045,0.15,60.956573,11.957961,FALSE
0.74,0.11,0.05,0.15,59.29934,11.893306,FALSE
0.74,0.11,0.055,0.15,59.29934,11.893306,FALSE
0.74,0.12,0,0.14,53.75099,7.6011624,FALSE
0.74,0.12,0.005,0.14,53.75099,7.6011624,FALSE
0.74,0.12,0.01,0.14,63.55306,9.623639,FALSE
0.74,0.12,0.015,0.14,63.55306,9.623639,FALSE
0.74,0.12,0.02,0.14,67.28228,13.3426895,FALSE
0.74,0.12,0.025,0.14,67.28228,13.3426895,FALSE
0.74,0.12,0.03,0.14,63.220116,13.387088,FALSE
0.74,0.12,0.035,0.14,63.220116,13.387088,FALSE
0.74,0.12,0.04,0.14,60.956573,11.942811,FALSE
0.74,0.12,0.045,0.14,60.956573,11.942811,FALSE
0.74,0.12,0.05,0.14,59.29934,11.878156,FALSE
0.74,0.12,0.055,0.14,59.29934,11.878156,FALSE
0.74,0.13,0,0.13,56.524483,7.325558,FALSE
0.74,0.13,0.005,0.13,56.524483,7.325558,FALSE
0.74,0.13,0.01,0.13,67.299255,9.515565,FALSE
0.74,0.13,0.015,0.13,67.299255,9.515565,FALSE
0.74,0.13,0.04,0.13,65.40662,12.751623,FALSE
0.74,0.13,0.045,0.13,65.40662,12.751623,FALSE
0.74,0.13,0.05,0.13,65.18506,13.040028,FALSE
0.74,0.13,0.055,0.13,65.18506,13.040028,FALSE
0.74,0.14,0,0.12,57.488583,7.3212886,FALSE
0.74,0.14,0.005,0.12,57.488583,7.3212886,FALSE
0.74,0.14,0.01,0.12,66.451904,9.112283,FALSE
0.74,0.14,0.015,0.12,66.451904,9.112283,FALSE
0.74,0.14,0.02,0.12,70.73844,12.646051,FALSE
0.74,0.14,0.025,0.12,70.73844,12.646051,FALSE
0.74,0.14,0.03,0.12,66.37255,11.968691,FALSE
0.74,0.14,0.035,0.12,66.37255,11.968691,FALSE
0.74,0.14,0.04,0.12,64.53599,10.506103,FALSE
0.74,0.14,0.045,0.12,64.53599,10.506103,FALSE
0.74,0.14,0.05,0.12,64.26296,10.762219,FALSE
0.74,0.14,0.055,0.12,64.26296,10.762219,FALSE
0.74,0.15,0,0.11,57.488583,7.3212886,FALSE
0.74,0.15,0.005,0.11,57.488583,7.3212886,FALSE
0.74,0.15,0.01,0.11,66.451904,9.112283,FALSE
0.74,0.15,0.015,0.11,66.451904,9.112283,FALSE
0.74,0.15,0.02,0.11,70.73844,12.646051,FALSE
0.74,0.15,0.025,0.11,70.73844,12.646051,FALSE
0.74,0.15,0.03,0.11,66.37255,11.968691,FALSE
0.74,0.15,0.035,0.11,66.37255,11.968691,FALSE
0.74,0.15,0.04,0.11,64.53599,10.506103,FALSE
0.74,0.15,0.045,0.11,64.53599,10.506103,FALSE
0.74,0.15,0.05,0.11,64.26296,10.762219,FALSE
0.74,0.15,0.055,0.11,64.26296,10.762219,FALSE
0.74,0.2,0,0.06,59.694023,6.104558,FALSE
0.74,0.2,0.005,0.06,59.694023,6.104558,FALSE
0.74,0.2,0.01,0.06,67.95629,7.4030495,FALSE
0.74,0.2,0.015,0.06,67.95629,7.4030495,FALSE
0.74,0.2,0.02,0.06,71.66067,9.918761,FALSE
0.74,0.2,0.025,0.06,71.66067,9.918761,FALSE
0.74,0.2,0.03,0.06,67.34489,10.428981,FALSE
0.74,0.2,0.035,0.06,67.34489,10.428981,FALSE
0.74,0.2,0.04,0.06,66.20185,9.083206,FALSE
0.74,0.2,0.045,0.06,66.20185,9.083206,FALSE
0.74,0.2,0.05,0.06,65.99809,9.332509,FALSE
0.74,0.2,0.055,0.06,65.99809,9.332509,FALSE
0.76,0.04,0,0.2,44.428574,7.0036407,FALSE
