learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,LOO-train-RMSE,LOO-train-R2,LOO-val-RMSE,LOO-val-R2,test-RMSE,test-R2,
0.01,3,0.8,300,3,0.8,7.446046714,0.777585695,9.433811178,,3.178055337,0.93696562,
0.3,6,0.9,100,3,1,0.022933319,0.999997671,8.785818815,,3.185068299,0.936687119,
0.01,7,0.6,400,3,0.8,7.192763612,0.792401925,8.991673222,,3.186032295,0.936648789,
0.01,8,0.6,400,3,0.8,7.192719448,0.792404481,8.991034737,,3.186032295,0.936648789,
0.01,7,0.8,200,1,0.8,6.192577696,0.845985563,9.320661182,,3.186105886,0.936645862,
0.01,6,0.6,400,3,0.8,7.192873484,0.792395641,8.990909328,,3.186906769,0.936614008,
0.3,6,0.9,200,3,1,0.001316367,0.999999993,8.789723158,,3.188088465,0.936566992,
0.3,6,0.9,300,3,1,0.001176932,0.999999994,8.789749146,,3.188138093,0.936565018,
0.3,6,0.9,400,3,1,0.001101373,0.999999995,8.789804459,,3.188305527,0.936558354,
0.01,5,0.6,400,3,0.8,7.193433129,0.792363091,8.995324364,,3.188726206,0.936541612,
0.01,3,0.6,200,1,0.6,7.732866956,0.759251887,9.476280432,,3.189243108,0.936521037,
0.01,3,0.7,400,3,0.8,6.688558978,0.820477294,9.108721724,,3.192313469,0.936398752,
0.01,6,0.8,200,1,0.8,6.193207956,0.84595337,9.317042942,,3.19343306,0.936354133,
0.4,8,0.6,200,3,1,0.003061432,0.99999995,8.737122774,,3.195262963,0.936281171,
0.4,8,0.6,300,3,1,0.001091546,0.999999995,8.736259222,,3.195854002,0.936257596,
0.4,8,0.6,400,3,1,0.000982709,0.999999996,8.736203432,,3.195952543,0.936253665,
0.01,5,0.9,400,5,0.8,7.195528431,0.792249991,9.616495247,,3.197752731,0.936181832,
0.4,7,0.6,200,3,1,0.003118521,0.999999947,8.797240973,,3.197862019,0.93617747,
0.4,7,0.6,300,3,1,0.001082379,0.999999995,8.796449661,,3.198659575,0.936145631,
